run_id^|^run_status^|^segment
472^|^FIN^|^C
473^|^FIN^|^C
474^|^FIN^|^C
475^|^FIN^|^C
476^|^FIN^|^C
477^|^FIN^|^C
478^|^FIN^|^C
479^|^FIN^|^C
480^|^FIN^|^C
481^|^FIN^|^C
482^|^FIN^|^C
483^|^FIN^|^C
484^|^FIN^|^C
485^|^FIN^|^C
486^|^FIN^|^C
487^|^FIN^|^C
488^|^FIN^|^C
489^|^FIN^|^C
490^|^FIN^|^C
491^|^FIN^|^C
492^|^FIN^|^C
493^|^FIN^|^C
494^|^FIN^|^C
495^|^FIN^|^C
496^|^FIN^|^C
497^|^FIN^|^C
498^|^FIN^|^C
499^|^FIN^|^C
500^|^FIN^|^C
501^|^FIN^|^C
502^|^FIN^|^C
503^|^FIN^|^C
504^|^FIN^|^C
505^|^FIN^|^C
506^|^FIN^|^C
507^|^FIN^|^C
508^|^FIN^|^C
509^|^FIN^|^C
510^|^FIN^|^C
511^|^FIN^|^C
512^|^FIN^|^C
513^|^FIN^|^C
514^|^FIN^|^C
515^|^FIN^|^C
516^|^FIN^|^C
517^|^FIN^|^C
518^|^FIN^|^C
519^|^FIN^|^C
520^|^FIN^|^C
521^|^FIN^|^C
522^|^FIN^|^C
523^|^FIN^|^C
524^|^FIN^|^C
525^|^FIN^|^C
526^|^FIN^|^C
527^|^FIN^|^C
528^|^FIN^|^C
529^|^FIN^|^C
530^|^FIN^|^C
531^|^FIN^|^C
532^|^FIN^|^C
533^|^FIN^|^C
534^|^FIN^|^C
535^|^FIN^|^C
536^|^FIN^|^C
537^|^FIN^|^C
538^|^FIN^|^C
539^|^FIN^|^C
540^|^FIN^|^C
541^|^FIN^|^C
542^|^FIN^|^C
543^|^FIN^|^C
544^|^FIN^|^C
545^|^FIN^|^C
546^|^FIN^|^C
547^|^FIN^|^C
548^|^FIN^|^C
549^|^FIN^|^C
550^|^FIN^|^C
551^|^FIN^|^C
552^|^FIN^|^C
553^|^FIN^|^C
554^|^FIN^|^C
555^|^FIN^|^C
556^|^FIN^|^C
557^|^FIN^|^C
558^|^FIN^|^C
559^|^FIN^|^C
560^|^FIN^|^C
561^|^FIN^|^C
562^|^FIN^|^C
563^|^FIN^|^C
564^|^FIN^|^C
565^|^FIN^|^C
566^|^FIN^|^C
567^|^FIN^|^C
568^|^FIN^|^C
569^|^FIN^|^C
570^|^FIN^|^C
571^|^FIN^|^C
572^|^FIN^|^C
573^|^FIN^|^C
574^|^FIN^|^C
575^|^FIN^|^C
576^|^FIN^|^C
577^|^FIN^|^C
578^|^FIN^|^C
579^|^FIN^|^C
580^|^FIN^|^C
581^|^FIN^|^C
582^|^FIN^|^C
583^|^FIN^|^C
584^|^FIN^|^C
585^|^FIN^|^C
586^|^FIN^|^C
587^|^FIN^|^C
588^|^FIN^|^C
589^|^FIN^|^C
